user_id,click,groups_exp,session_time,click_time,device_type,referral_source,z_score
3500,0,exp,1.6395697324881358,"2024-01-14 22:15:00",mobile,email,0.1422031387095346
9880,0,exp,2.3775262565501687,"2024-01-07 19:20:00",mobile,social,0.13298166531621683
8899,0,exp,0.9146521000925751,"2024-01-09 15:13:00",desktop,social,0.15126167866617934
4855,0,exp,2.9617149723555163,"2024-01-01 15:36:00",mobile,direct,0.12568166792636704
7575,0,exp,7.032542539890886,"2024-01-08 00:46:00",desktop,search,0.074812779477247
3310,1,exp,2.784539665311163,"2024-01-04 17:39:00",desktop,email,0.12789564304087536
3826,0,exp,1.65446659585686,"2024-01-03 19:53:00",desktop,search,0.14201698813735397
9199,0,exp,2.4958742740381203,"2024-01-07 17:31:00",mobile,social,0.13150279351437974
4518,0,exp,10.405808221541598,"2024-01-05 11:02:00",desktop,social,0.032660594737812215
4992,0,exp,2.572367059073607,"2024-01-04 23:50:00",mobile,email,0.1305469429202244
1403,1,exp,2.7557005206708136,"2024-01-02 16:29:00",mobile,social,0.12825601576787987
2040,1,exp,3.347912160307268,"2024-01-09 13:50:00",mobile,social,0.1208557642624652
5989,0,exp,4.923829723240138,"2024-01-13 10:39:00",mobile,search,0.10116316530466257
3826,1,exp,3.147566834768369,"2024-01-04 17:40:00",mobile,email,0.12335927094435374
1161,0,exp,19.5622892508824,"2024-01-02 20:44:00",desktop,email,0.08175840344884433
4327,0,exp,7.250426782156804,"2024-01-02 06:17:00",mobile,direct,0.07209010723658602
8153,1,exp,1.3245739191541297,"2024-01-02 05:40:00",mobile,direct,0.1461393130192042
7782,1,exp,11.981259109784638,"2024-01-14 18:33:00",mobile,social,0.012973827327120132
4452,1,exp,7.383083797329019,"2024-01-11 14:59:00",mobile,social,0.07043243080720236
8911,0,exp,0.4012281182056568,"2024-01-04 22:58:00",mobile,search,0.15767740294543714
1199,0,exp,3.205036552992542,"2024-01-04 15:48:00",desktop,direct,0.12264113178541172
9262,0,exp,10.45833858394115,"2024-01-09 01:47:00",desktop,email,0.032004177559544836
2712,0,exp,3.8417310948175523,"2024-01-03 19:22:00",mobile,search,0.11468502382285588
5774,1,exp,9.973400649663976,"2024-01-10 23:06:00",mobile,direct,0.038063941397301126
732,1,exp,4.238188046944909,"2024-01-10 06:47:00",mobile,search,0.10973091458141368
6339,1,exp,12.373842756839032,"2024-01-10 15:42:00",mobile,email,0.008068118741421073
9499,1,exp,0.1623576994622109,"2024-01-06 13:44:00",mobile,direct,0.16066231755635288
8476,1,exp,1.5898686050469708,"2024-01-10 20:16:00",mobile,email,0.1428242018878826
3883,0,exp,3.010466735965513,"2024-01-02 13:30:00",mobile,social,0.12507246795814625
3989,1,exp,10.116454615704196,"2024-01-09 03:06:00",desktop,social,0.03627634511129338
